AAPL,ABBV,AMD,AMZN,AVGO,AXP,BAC,BKR.B,CAT,COST,CSCO,CVX,GE,GOOGL,GS,HD,IBM,JNJ,JPM,KO,LLY,MA,META,MS,MSFT,MU,NFLX,NVDA,ORCL,PG,PLTR,QQQ,SPY,TSLA,UNH,V,WFC,WMT,XOM
171.9352264404297,152.1929168701172,160.1999969482422,180.9600067138672,131.182373046875,233.79734802246094,35.83876419067383,,341.171630859375,719.5918579101562,45.34324645996094,152.56610107421875,162.53817749023438,164.78802490234375,412.95623779296875,320.5264892578125,158.05361938476562,138.4002227783203,185.29542541503906,58.541316986083984,727.0579833984375,451.75787353515625,429.7068786621094,87.6226577758789,396.1693115234375,113.56343078613281,55.94900131225586,87.70751190185547,114.05906677246094,154.54490661621094,22.829999923706055,428.0489807128906,497.9416198730469,194.0500030517578,468.1319274902344,267.8225402832031,57.14072036743164,59.04176330566406,111.88910675048828
168.7938232421875,153.2482452392578,158.3800048828125,175.0,127.42414093017578,229.01222229003906,35.32337188720703,,326.31732177734375,716.1936645507812,44.584049224853516,147.92483520507812,159.8998565673828,161.44564819335938,409.0262145996094,318.0711669921875,156.8925018310547,136.29811096191406,183.81907653808594,58.28654479980469,770.3540649414062,445.9267883300781,427.2734680175781,86.4145278930664,383.44464111328125,112.17317199707031,55.06399917602539,86.353271484375,111.37622833251953,156.01712036132812,21.969999313354492,419.9776306152344,490.0536193847656,183.27999877929688,463.02972412109375,264.6401672363281,56.682064056396484,58.169464111328125,110.60786437988281
167.7731170654297,152.3813934326172,144.27000427246094,179.0,121.79805755615234,226.49732971191406,35.266109466552734,,322.9036560058594,715.5199584960938,44.451194763183594,146.4205780029297,157.8050079345703,162.5167999267578,409.2562561035156,315.92987060546875,155.22161865234375,142.5101776123047,183.93409729003906,58.437522888183594,766.0639038085938,436.9034729003906,436.232666015625,87.08043670654297,388.9698181152344,108.93587493896484,55.17100143432617,82.99414825439453,112.23787689208984,156.2083282470703,22.1200008392334,416.94097900390625,488.46234130859375,179.99000549316406,463.4221496582031,263.3693542480469,56.873172760009766,57.67940902709961,108.51297760009766
171.469482421875,151.52394104003906,146.16000366210938,184.72000122070312,121.37764739990234,227.51502990722656,35.19929504394531,,327.1658630371094,725.6452026367188,44.40373611450195,147.42953491210938,160.7101287841797,165.25416564941406,414.6433410644531,319.31787109375,155.46707153320312,141.32241821289062,183.74237060546875,58.494144439697266,745.5106201171875,435.94482421875,438.70587158203125,88.13636016845703,391.8259582519531,111.54756164550781,56.51499938964844,85.76860046386719,112.56098175048828,156.6289520263672,22.549999237060547,422.2625427246094,493.0310974121094,180.00999450683594,471.90350341796875,263.6550598144531,57.16938400268555,58.522300720214844,108.7093734741211
181.72613525390625,154.3318328857422,150.60000610351562,186.2100067138672,125.25248718261719,225.82211303710938,35.55243682861328,,328.44354248046875,736.9989013671875,44.7169075012207,146.9892578125,162.1626739501953,165.86907958984375,420.0208435058594,326.2841796875,156.42994689941406,140.70968627929688,182.63986206054688,58.66398239135742,724.858642578125,438.39581298828125,448.9166259765625,89.078125,400.51263427734375,113.90104675292969,57.933998107910156,88.73892211914062,113.38346099853516,157.22166442871094,23.329999923706055,430.74932861328125,499.1424255371094,181.19000244140625,471.40576171875,264.5220031738281,57.274497985839844,58.63011932373047,108.48493194580078
180.07122802734375,153.33306884765625,155.77999877929688,188.6999969482422,128.40805053710938,229.30577087402344,35.97238540649414,,333.66156005859375,749.4324340820312,44.707420349121094,148.86961364746094,165.97686767578125,166.7220458984375,425.2833557128906,325.7512512207031,159.1675262451172,140.0592803955078,184.06829833984375,58.83383560180664,756.1323852539062,444.1181945800781,462.54425048828125,90.1720962524414,407.2886962890625,119.2932357788086,59.696998596191406,92.08802795410156,115.87043762207031,157.20252990722656,25.209999084472656,435.4674987792969,504.2969055175781,184.75999450683594,473.2533264160156,268.6402587890625,57.51337814331055,58.67912292480469,109.18634796142578
180.75498962402344,153.16346740722656,154.42999267578125,188.75999450683594,127.70245361328125,229.62869262695312,36.11554718017578,,336.49005126953125,764.1546020507812,44.86874771118164,149.20899963378906,166.7772674560547,169.84620666503906,425.4079284667969,324.22857666015625,158.95042419433594,140.1912384033203,183.82864379882812,59.0886116027832,767.06982421875,447.7650146484375,465.08709716796875,91.1233901977539,403.1521911621094,118.37963104248047,60.599998474121094,90.50292205810547,115.46900939941406,158.46444702148438,21.399999618530273,435.5367431640625,504.85345458984375,177.80999755859375,479.55206298828125,272.37420654296875,57.580265045166016,59.41420364379883,108.6439208984375
181.0919189453125,151.1846923828125,153.6199951171875,188.0,129.8839111328125,231.17483520507812,35.99147415161133,,336.00238037109375,756.3278198242188,45.552024841308594,149.08973693847656,166.85629272460938,167.99154663085938,428.4273986816406,322.4584045410156,160.38526916503906,140.40806579589844,187.56752014160156,59.30563735961914,764.3379516601562,449.4551086425781,469.4177551269531,90.98068237304688,404.333984375,118.48886108398438,60.946998596191406,90.36100769042969,114.94026947021484,157.8048095703125,21.559999465942383,435.27960205078125,504.9021911621094,174.72000122070312,481.7059631347656,273.09344482421875,58.50712585449219,59.10056686401367,108.6252212524414
182.90541076660156,151.13760375976562,152.38999938964844,189.5,127.95331573486328,234.01263427734375,36.53548812866211,,343.102783203125,771.8128051757812,45.35274124145508,151.7589569091797,165.512451171875,168.56680297851562,436.6805419921875,330.65240478515625,158.5166778564453,141.25643920898438,189.34109497070312,59.333946228027344,760.9353637695312,450.1666259765625,472.21875,93.33035278320312,406.0871276855469,116.98938751220703,61.20899963378906,88.69693756103516,114.2059326171875,158.73211669921875,21.139999389648438,436.2291564941406,507.8114013671875,171.97000122070312,485.3626708984375,274.4234924316406,58.89154052734375,59.44282531738281,110.76686096191406
181.6451416015625,151.46739196777344,151.9199981689453,187.47999572753906,130.6120147705078,237.10491943359375,36.697750091552734,,346.0385437011719,779.8873291015625,45.608970642089844,152.0983428955078,161.4413299560547,167.26751708984375,435.8849792480469,329.6911926269531,159.3556671142578,141.31301879882812,190.55865478515625,59.6925163269043,749.5443725585938,451.6392517089844,472.9934387207031,93.49207305908203,408.470458984375,120.39550018310547,61.08700180053711,89.82731628417969,114.23529815673828,159.50648498535156,20.600000381469727,437.2579040527344,508.4655456542969,168.47000122070312,490.8956604003906,276.5909423828125,59.47776412963867,59.4821662902832,110.31795501708984
